N_W_m N_L_m P_W_m P_L_m VCM NFmin_dB NF_dB Rn SOpt_real SOpt_imag
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.85 0.0311028 29.406 43558.5 0.999991 0.0013206
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.90 0.0481349 33.1927 104240 0.999994 0.00136011
0.22e-6 0.36e-6 0.66e-6 0.36e-6 0.95 0.069117 36.4337 219906 0.999995 0.0013549
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.00 0.0933757 39.2585 421471 0.999997 0.00133164
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.05 0.113588 41.2914 673099 0.999997 0.00129336
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.10 0.124027 42.5272 894671 0.999998 0.00123844
0.22e-6 0.36e-6 0.66e-6 0.36e-6 1.15 0.129012 43.4866 1.11587E+06 0.999998 0.00116722
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.55 0.0743325 34.7257 148388 0.999992 0.00201
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.60 0.0691897 34.0748 127726 0.999992 0.00203461
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.65 0.0598079 32.7699 94565 0.999991 0.0020613
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.70 0.0470646 30.6907 58568.6 0.999989 0.0020722
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.75 0.0336557 27.9489 31128.9 0.999986 0.00195519
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.80 0.0391698 29.3224 42726.6 0.999988 0.0017321
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.85 0.0612353 33.2406 105395 0.999992 0.00178786
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.90 0.0831652 36.0143 199659 0.999994 0.00178826
0.22e-6 0.36e-6 0.66e-6 0.50e-6 0.95 0.103191 38.1072 323311 0.999995 0.00176588
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.00 0.117749 39.6033 456298 0.999996 0.00172365
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.05 0.125626 40.6803 584734 0.999996 0.00166042
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.10 0.129393 41.6567 732159 0.999997 0.00157421
0.22e-6 0.36e-6 0.66e-6 0.50e-6 1.15 0.13174 42.7365 938857 0.999997 0.00146852
0.22e-6 0.36e-6 2e-6 0.28e-6 0.55 0.105906 37.2859 267596 0.999987 0.00419509
0.22e-6 0.36e-6 2e-6 0.28e-6 0.60 0.100318 36.7856 238471 0.999986 0.00421717
0.22e-6 0.36e-6 2e-6 0.28e-6 0.65 0.0922083 36.0015 199072 0.999986 0.00424306
0.22e-6 0.36e-6 2e-6 0.28e-6 0.70 0.0807295 34.7927 150694 0.999985 0.00426367
0.22e-6 0.36e-6 2e-6 0.28e-6 0.75 0.0669252 33.1383 102941 0.999983 0.00427048
0.22e-6 0.36e-6 2e-6 0.28e-6 0.80 0.0522424 31.018 63158 0.999981 0.00425571
0.22e-6 0.36e-6 2e-6 0.28e-6 0.85 0.0373963 28.2461 33337.1 0.999978 0.00419529
0.22e-6 0.36e-6 2e-6 0.28e-6 0.90 0.0222163 24.0627 12692 0.999973 0.00382207
